,ID,RA,DEC
0,100003441043006103,344.10429477800005,-6.6619103939999995
1,100011548641401034,154.86413375,-6.657770876
2,100021967552612863,196.75526980200002,-6.647943366
3,100023322837925814,332.28379607799997,-6.645484238
4,100033457191311670,345.7191439,-6.640609198
5,100033553123868560,355.31239039,-6.634858362
6,100051617607457543,161.760733668,-6.619031047999999
7,100140276242141024,27.624214704,-6.549495312
8,100153332319061529,333.2318979,-6.5407234139999995
9,100181752343674614,175.23438031599997,-6.513147628
10,100183327347848485,332.73479767599997,-6.50992485
11,100193409214974152,340.921517482,-6.505214246
12,100201470322354024,147.032223636,-6.496985206000001
13,100210288527948431,28.85279623,-6.484977324
14,100211470489734202,147.048959048,-6.488487626
15,100231694365309428,169.43654452,-6.467480866
16,100251831839517692,183.18395415400002,-6.4522545739999995
17,100282001476178830,200.14762432400002,-6.426322026
18,100282122785141696,212.278515618,-6.43225439
19,100350552150034221,55.214988686000005,-6.37180234
20,100373595303001316,359.53028739800004,-6.357569326
21,100390750178562350,75.01785637399999,-6.340034732
22,100420000509738063,0.05096434,-6.31030047
23,100460137392148400,13.739211467999999,-6.276651302
24,100463555503379997,355.550338085,-6.275309911
25,100483351900767034,335.190072108,-6.261132677999999
26,100503411784629565,341.17845806,-6.242354088
27,100541424880093690,142.48801127,-6.213916582
28,100562277563686625,227.75638334,-6.194807794
29,100581669007758620,166.90076262600002,-6.176479754
30,100601476527027241,147.652714973,-6.160962594
31,100610280320714210,28.032077742,-6.155164322
32,100631649898942910,164.989897936,-6.139573857999999
33,100643313518542175,331.351849742,-6.131827134
34,100661582250003511,158.224996704,-6.114074798
35,100731907766965257,190.776675372,-6.054279172
36,100751642857810799,164.28576761,-6.041337982000001
37,100751897666077096,189.76661039200002,-6.036100452
38,100752103446597688,210.344655232,-6.035598472
39,100760488571708691,48.857161368,-6.02644688
40,100762063675813395,206.367598912,-6.030844386
41,100803275715208108,327.571523923,-5.993586232999999
42,100823372853897787,337.285396628,-5.977187684
43,100890041953281542,4.19531509,-5.924053566
44,100890274919172612,27.491920552,-5.92315401
45,100922093737446173,209.373750582,-5.895181687999999
46,100942265234736154,226.523483075,-5.878528506
47,100943561468500905,356.146850306,-5.882913852000001
48,101020024172777884,2.417271627,-5.810408681
49,101023470852816029,347.08528793199997,-5.81198007
50,101043599115154584,359.911525266,-5.796519206
51,101061499671080799,149.967109606,-5.783003278
52,101091740705854440,174.07058167,-5.7549548239999995
53,101103554754526829,355.47544274800003,-5.744625114
54,101163269483418796,326.94836991799997,-5.69301326
55,101191829995761581,182.99959592,-5.674023544
56,101201800167114644,180.01673482400003,-5.663120127999999
57,101210444446767762,44.444678936,-5.652196644
58,101220726401995344,72.640179136,-5.645864392000001
59,101240150047138658,15.00469853,-5.626446784
60,101241862414557357,186.241452084,-5.627537768
61,101251547804836012,154.780492808,-5.620326417999999
62,101303425611013115,342.56110016,-5.58105749
63,101321573842400438,157.384239788,-5.566654416
64,101331341543020681,134.154322852,-5.558083568
65,101331734004976749,173.40049296799998,-5.5530445120000005
66,101363561745032989,356.17448603800005,-5.53118654
67,101380342189441929,34.218939962,-5.51539206
68,101380486577218975,48.65770518,-5.509512506
69,101381375865740958,137.586568498,-5.516217864
70,101401816191924516,181.619206053,-5.4965799760000005
71,101420260213019544,26.021289064,-5.475731992
72,101451848775302520,184.87753366400003,-5.4565686520000005
73,101462078669535329,207.866965642,-5.44589237
74,101501776022810769,177.60228824599997,-5.416369414
75,101520167106950577,16.710787844000002,-5.399825054
76,101521440301815298,144.030195836,-5.395933824
77,101521948735465546,194.87355056599998,-5.39570507
78,101531702259547026,170.22594275,-5.386169703999999
79,101610594029734334,59.402973042,-5.321735534
80,101673427018240645,342.701814206,-5.27478845
81,101680746337859481,74.633782966,-5.259101554
82,101812035972809841,203.597276784,-5.15047902
83,101850533556626949,53.355652306,-5.119540052
84,101910249626610750,24.9626516,-5.074718924
85,101912051342783790,205.13428061599998,-5.0721807839999995
86,101923297580260078,329.758040084,-5.06694525
87,101930237408580227,23.740872831999997,-5.058491892
88,101942114760463735,211.476051562,-5.04722814
89,101980554107306078,55.410738242,-5.0119420969999995
90,101993553449193741,355.34492567,-5.0055719960000005
91,102030261314249190,26.131440414,-4.96768071
92,102031627267614676,162.726769364,-4.971432366
93,102071734103841752,173.410387238,-4.940549516
94,102110044929709144,4.492977568,-4.901026244
95,102141328954804389,132.89548294,-4.87997299
96,102231824597262657,182.459748299,-4.806451854
97,102270368561953822,36.856198114,-4.772172642
98,102281291948483065,129.194833722,-4.764454588
99,102283340826607417,334.08266955,-4.760820526
100,102300445002807893,44.500282681,-4.743783543
101,102303304064067742,330.40646153,-4.7438711
102,102310286906014098,28.690606234,-4.738567843999999
103,102311997547828796,199.75477148,-4.734677908
104,102320339744946557,33.974479036999995,-4.728193895
105,102321908756472768,190.875642408,-4.731351106
106,102321943946472600,194.39464917599997,-4.731521573999999
107,102333209146067037,320.91460082,-4.719469584
108,102333544809791286,354.480975204,-4.724263076000001
109,102361333346890414,133.33473022200002,-4.700013416
110,102361549912700056,154.991259366,-4.700298396
111,102361942906482459,194.29064424400002,-4.6982864719999995
112,102411519710951170,151.971097028,-4.657694938000001
113,102421364943732909,136.4943844,-4.6479134239999995
114,102421471768488177,147.17684675200002,-4.643508548
115,102442182630037815,218.26300090400002,-4.62716356
116,102500474575490416,47.457548752,-4.58333104
117,102501722423804587,172.24237798400003,-4.5798245060000005
118,102503303349173139,330.334914062,-4.581051624
119,102511703468415079,170.346852436,-4.57133279
