,RA,DEC
0,358.24061777599997,-2.725861362
1,146.308739722,-2.705648628
2,161.704875972,-2.6355794280000002
3,49.96803448,-2.592077152
4,36.006666309,-2.574197477
5,72.495776432,-2.550853242
6,204.08240129400002,-2.539958918
7,166.34967462,-2.528269252
8,69.130476769,-2.410896094
9,37.22722419,-2.396128919
10,161.785699304,-2.35883435
11,216.45779603,-2.33394169
12,9.515975602000001,-2.31311011
13,196.071080218,-2.316131222
14,129.770106664,-2.280138296
15,152.129785938,-2.25437885
16,68.939067794,-2.24168436
17,342.11827646,-2.211583178
18,326.334278874,-2.207226088
19,9.618690212,-2.193951586
20,48.382789922,-2.1942553780000003
21,159.694874748,-2.179700244
22,179.504563488,-2.177302156
23,168.991041792,-2.170739404
24,193.793333906,-2.16108687
25,64.782920984,-2.1542520919999997
26,179.64011984400003,-2.135657592
27,193.36946230799998,-2.12519423
28,154.566565944,-2.113157482
29,139.355069088,-2.092144132
30,160.392199371,-2.084271041
31,185.21601638099997,-2.0857627830000003
32,152.661818036,-2.04453701
33,49.873279364,-2.03477549
34,202.491031653,-2.014378512
35,190.8017234975,-2.0032378084999998
36,184.83215451599997,-1.994635645
37,211.63323134,-1.968855484
38,202.44303973799998,-1.951255954
39,201.990975864,-1.9248691080000002
40,44.314971716,-1.91089245
41,326.933938672,-1.915816142
42,156.557083532,-1.891501334
43,203.065525646,-1.8852481840000002
44,157.6119642375,-1.8391345155
45,223.57339721,-1.821359934
46,219.583130645,-1.8123439019999998
47,226.34275322599999,-1.802865954
48,11.946563028,-1.8001116480000001
49,235.29110466,-1.7061425680000002
50,170.006482093,-1.684889509
51,204.42216309,-1.6753923380000002
52,211.06342771400003,-1.639834056
53,158.516346676,-1.6279264
54,173.53881072,-1.595137621
55,146.814715808,-1.5832231019999998
56,213.77498393,-1.55681836
57,188.258749008,-1.540510922
58,163.779184278,-1.5312899119999999
59,161.877145924,-1.492497454
60,354.68317892,-1.4719575480000002
61,151.585758814,-1.395635859
62,168.253553616,-1.377223568
63,191.31454253200002,-1.380166472
64,186.782152792,-1.3541805319999998
65,138.915519326,-1.3471001980000001
66,352.467768766,-1.299383474
67,178.876635978,-1.262073902
68,178.87771549599998,-1.261388718
69,21.891859654,-1.256249282
70,32.547005414000004,-1.232226688
71,127.887014743,-1.197768467
72,171.035980394,-1.15772614
73,63.636791098,-1.124159428
74,224.347232398,-1.1228631059999998
75,38.618984882,-1.101164878
76,46.29418426,-1.07546873
77,216.32254094599998,-1.0517330059999999
78,223.78387725,-1.048066014
79,47.022769208,-0.978498482
80,159.724615226,-0.941627984
81,200.22765541200002,-0.941157628
82,30.627328544,-0.909726072
83,201.272366168,-0.9031095720000001
84,226.5831797,-0.907848634
85,337.240430786,-0.897448418
86,340.02968563,-0.892414866
87,164.089893636,-0.88901187
88,145.68113042,-0.8672260540000001
89,50.536105872,-0.836272908
90,135.80278258799999,-0.752927088
91,180.366441918,-0.718380144
92,170.663815648,-0.684540708
93,37.54518409,-0.64821525
94,51.644139926,-0.6477524720000001
95,158.33258056,-0.6015628120000001
96,212.103657658,-0.5891609879999999
97,191.418754522,-0.580460458
98,50.85771166399999,-0.5719394520000001
99,158.46400023,-0.561304554
100,24.247187736,-0.531501168
101,51.155451291999995,-0.444010232
102,198.535908566,-0.441085956
103,205.13401611400002,-0.43943281
104,162.35367677,-0.429878452
105,161.93611331600002,-0.377285986
106,184.468514108,-0.36207468200000004
107,72.697480434,-0.35102682399999996
108,152.37692553,-0.333868562
109,48.190404346,-0.333110108
110,149.859160288,-0.253945496
111,354.964958702,-0.250481954
112,8.88653867,-0.17912196600000002
113,152.839000524,-0.16861172600000002
114,200.65335121799998,-0.14059261
115,65.7660704,-0.060733944000000005
116,177.88115044,-0.05093219400000001
117,202.263451248,-0.043607624000000005
118,134.945339402,-0.005608923
119,349.56531062199997,0.261199384
120,47.593072565,0.426852299
121,45.990927828000004,0.433961748
122,47.642061956000006,0.49411691799999996
123,46.26058748,0.628918514
124,22.944501464000002,0.682173076
125,45.27320902,0.7560341859999999
126,24.8766248761667,0.7827513875
127,64.159300824,0.84315478
128,30.726806344,0.877978272
129,49.804520634,0.956918178
130,28.196846022,1.105605878
131,29.78980553,1.1768840520000001
132,71.21896951,1.20800495
133,341.434886776,1.5056163740000001
134,30.473967078,1.51920127
135,68.63322094,1.682444546
136,52.240478236,1.7507049380000002
137,24.513745491999998,1.7809762759999999
138,345.90986643199994,1.849662744
139,359.84235539400004,1.87578017
140,31.839939276,1.929706092
141,332.866616892,1.9356807180000002
142,327.707615112,2.020808092
143,350.352718826,2.073251612
144,334.852700246,2.440323522
145,317.592654401,2.498312573
146,46.86680833,2.53057441
147,330.75018860000006,2.598886278
148,344.889103966,2.626512646
149,327.77240617,2.7738548080000003
150,337.4984545,2.7906565619999997
151,3.2377174560000004,2.945424258
152,45.84178076600001,3.102432762
153,328.74305335,3.1001796280000002
154,48.686429587,3.187320091
155,339.99812090349997,3.1911201264999995
156,340.125906214,3.358498118
157,16.256682712,3.421668284
158,2.899120752,3.50382765
159,50.191402517,3.5852258210000003
160,47.790199234,3.6220300739999995
161,328.353336252,3.6495862580000002
162,320.245160014,3.672520622
163,334.169453404,3.86979566
164,355.37011395,4.171870226
165,45.35256327,4.23914007
166,346.407049368,4.234263694
